Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy,Val_Accuracy_Normalised
1,2.3441,0.4494,0.5538,82.07,0.8207
2,0.4493,0.8655,0.3095,91.27,0.9127
3,0.4005,0.8895,0.2443,93.47,0.9347
4,0.3071,9162,0.3365,91.14,0.9114
5,0.2679,0.9302,0.3052,92.68,0.9268
6,0.3407,0.9169,0.332,92.31,0.9231
7,0.2785,0.9316,0.2405,93.81,0.9381
8,0.2486,0.9266,0.2004,95.68,0.9568
9,0.2416,0.9466,0.8353,87.62,0.8762
10,0.2117,0.9439,0.3651,90.65,0.9065
11,0.2383,0.9366,0.3517,92.48,0.9248
12,0.255,0.946,0.2489,94.51,0.9451
13,0.2496,0.9345,0.2469,94.06,0.9406
14,0.2391,0.942,0.238,95,0.95
15,0.2572,0.9406,0.2171,94.6,0.946
16,0.2687,0.9491,0.21,95.7,0.957
17,0.2911,0.9317,0.3201,93.23,0.9323
18,0.2749,0.9315,0.228,96.01,0.9601
19,0.2912,0.9282,0.3221,92.84,0.9284
20,0.2399,0.9403,0.7305,91.39,0.9139
